sundanese,indonesian
Pamilihan umum présidén teu langsung dilaksanakeun di Italia dina 18 nepi ka 20 April 2013.,Pemilihan presiden dilaksanakan di Italia antara 18 dan 20 April 2013.
"Dina 3 jirangan anu kahiji, sora anu dibutuhkeun nyaéta 672 sora.","Di putaran pertama, suara yang diperlukan sebanyak 672."
Jirangan salajengna ngan butuh sora mayoritas nyaéta 504 sora.,"Putaran selanjutnya membutuhkan suara yang lebih sedikit, 504."
Basa Portugis,Bahasa Portugis
"Basa Portugis ( atawa ""língua portuguesa"") nyaéta salasahiji basa Roman anu loba diaromongkeun di Portugal, Brasil, Angola, Mozambik, Ujung Verde, sarta Timor Lésté.","Bahasa Portugis (""português"") adalah sebuah bahasa Roman yang banyak dituturkan di Portugal, Brasil, Angola, Mozambik, Tanjung Verde, dan Timor Leste."
"Basa Portugis ngabogaan leuwih ti 200 juta panyatur tulén, ku kituna nyaéta salasahiji basa anu diaromongkeun sacara lega di dunya, sarta mangrupa basa anu panglobana kalima atawa kagenep di dunya.","Bahasa Portugis menjadi bahasa yang paling banyak digunakan di Amerika Selatan karena Brasil, dengan 184 juta penduduknya, membentuk sekitar 51% dari seluruh populasi Amerika Selatan."
"Basa Portugis nyaéta basa anu panglobana dipaké di Amérika Kidul, alatan Brasil anu ngabogaan nu nyicingan 184 yuta (mangrupa kira-kira 51% ti total populasi Amérika Kidul).","Portugis adalah bahasa minoritas yang penting di Andorra, Luxemburg dan Namibia."
Mark Zuckerberg,Mark Zuckerberg
"Mark lahir di wewengkon ngaranna Dobbs Ferry, Westchester County, kota New York, anak ti Edward sarta Karen Zuckerberg, manéhna nyaéta anak kadua ti opat duduluran ti kolot pasangan dokter huntu - psikiater.","Ia dikenal karena menciptakan situs jejaring sosial Facebook bersama temannya, yang dengan itu ia menjadi pejabat eksekutif dan presiden."
Alexa (grup musik),Alexa (grup musik)
Roti,Roti
"Bahan dasar utama roti nya éta tipung tarigu jeung cai anu difermentasikeun ku ragi, tapi aya ogé anu henteu maké ragi.","Roti adalah makanan berbahan dasar utama tepung terigu dan air, yang difermentasikan dengan ragi, tetapi ada juga yang tidak menggunakan ragi."
Gending Sriwijaya,Gending Sriwijaya
Rumpaka Lagu Gending Sriwijaya.,Lirik Lagu Gending Sriwijaya.
Di kala ku merindukan keluhuran dahulu kala Kutembangkan nyanyian lagu Gending Sriwijaya Dalam seni kunikmati lagi zaman bahagia Kuciptakan kembali dari kandungan Sang Maha Kala Sriwijaya dengan Asrama Agung Sang Maha Guru Tutur sabda Dharmapala Sakyakhirti Dharmakhirti Berkumandang dari puncaknya Seguntang Maha Meru Menaburkan tuntunan suci Gautama Buddha sakti.,Di kala ku merindukan keluhuran dahulu kala Kutembangkan nyanyian lagu Gending Sriwijaya Dalam seni kunikmati lagi zaman bahagia Kuciptakan kembali dari kandungan Sang Maha Kala Sriwijaya dengan Asrama Agung Sang Maha Guru Tutur sabda Dharmapala Sakyakhirti Dharmakhirti Berkumandang dari puncaknya Seguntang Maha Meru Menaburkan tuntunan suci Gautama Buddha sakti.
Borobudur candi pusaka zaman Sriwijaya Saksi luhur berdiri teguh kokoh sepanjang masa Memahsyurkan Indonesia di tengah Asia Melambangkan keagungan sejarah Nusa dan Bangsa Taman Sari beserta emas perak Sri Ksetra Dengarkanlah bualan bagai di Surga Indralaya Taman puji turunan Maharaja Syailendra Mendengarkan irama lagu Gending Sriwijaya.,Borobudur candi pusaka zaman Sriwijaya Saksi luhur berdiri teguh kokoh sepanjang masa Memahsyurkan Indonesia di tengah Asia Melambangkan keagungan sejarah Nusa dan Bangsa Taman Sari beserta emas perak Sri Ksetra Dengarkanlah bualan bagai di Surga Indralaya Taman puji turunan Maharaja Syailendra Mendengarkan irama lagu Gending Sriwijaya.
Tari Gending Sriwijaya.,Tari Gending Sriwijaya.
"Tarian ieu dipintonkeun keur mapag sémah istiméwa nu datang ka daerah éta, saperti Presiden, menteri kabinet, Presiden ti nagara tatangga, duta-duta besar atawa anu dianggep satingkat jeung éta.","Tarian ini digelar untuk menyambut para tamu istimewa yang bekunjung ke daerah tersebut, seperti kepala negara Republik Indonesia, menteri kabinet, kepala negara / pemerintahan negara sahabat, duta-duta besar atau yang dianggap setara dengan itu. Untuk menyambut para tamu agung itu digelar suatu tarian tradisional yang salah satunya adalah Gending Sriwijaya, tarian ini berasal dari masa kejayaan kemaharajaan Sriwijaya di Kota Palembang yang mencerminkan sikap tuan rumah yang ramah, gembira dan bahagia, tulus dan terbuka terhadap tamu yang istimewa itu."
Jupiter,Yupiter
"Yupiter atawa Jupiter nyaéta planét pangdeukeutna kalima ti panonpoé sanggeus Mérkurius, Vénus, Bumi, sarta Mars.","Yupiter adalah planet terdekat kelima dari Matahari setelah Merkurius, Venus, Bumi, dan Mars."
Paris Hilton,Paris Hilton
Keusik,Pasir
Divisi Dhaka,Divisi Dhaka
"Divisi Dhaka (, ""Ḑhaka Bibhag"") nyaéta salah sahiji divisi di Bangladés.",Divisi Dhaka merupakan satu dari enam divisi di Bangladesh.
Ibu kota jeung kota panggedéna nyaéta Dhaka.,Ibu kota dan kota terbesar ialah Dhaka.
Warna sékundér,Warna sekunder
Warna sékundér nyaéta warna anu dihasilkeun tina campuran dua warna primér dina hiji rohang warna.,Warna sekunder adalah warna yang dihasilkan dari campuran dua warna primer dalam sebuah ruang warna.
Contona kawas di handapeun ieu.,Contohnya seperti di bawah ini.
"Dina prinsipna, téori pikeun pigmén sakuduna bisa dilarapkeun pikeun warna cét ogé.",Pada prinsipnya teori untuk pigmen seharusnya bisa diterapkan untuk warna cat juga.
"Tapi cét anu mimiti dipaké, panyampuranana dipigawé laér saméméh ayana élmu pangaweruh warna modéren, sarta alatan pigmén anu sadia dina mangsa éta ogé kawates.","Tetapi cat yang mula-mula dipakai, pencampurannya dilakukan jauh sebelum adanya ilmu pengetahuan warna modern, dan karena pigmen yang tersedia pada masa itu juga terbatas."
"Hususna warna pigmén ""cyan"" sarta magénta alami hésé dipibanda, ku alatan éta dipaké warna biru sarta beureum.","Khususnya warna pigmen cyan dan magenta alami sulit didapat, oleh karena itu dipakai warna biru dan merah."
"Ku kituna nepi ka ayeuna ilaharna diajarkeun yén beureum, konéng jeung biru nyaéta warna primér sedengkeun jingga/oranyeu, héjo sarta wungu mangrupakeun warna sékundér.","Dengan demikian sampai saat ini secara luas diajarkan bahwa merah, kuning dan biru adalah warna primer sedangkan jingga/orange, hijau dan ungu adalah warna sekunder."
Kriging,Kriging
Mikihiro Moriyama,Mikihiro Moriyama
"Prof. Dr. Mikihiro Moriyama téh sarjana basa jeung sastra Sunda, anu ayeuna nyangking kalungguhan Profésor widang basa Indonésia di universitas Nanzan, Jepang Inyana nulis rupaning buku jeung éséy ngeunaan budaya citak jeung modérnitas ogé ngeunaan kawijakan basa di Indonésia.","Prof. Dr. Mikihiro Moriyama Seorang sarjana bahasa dan sastra Sunda, yang mendapat gelar profésor dalam bidang bahasa Indonesia di Universitas Nanzan, Jepang Miki , begitu panggilan sehari-harinya, menulis berbagai buku dan esai mengenai budaya cetak dan modernitas juga mengenai kebijakan bahasa di Indonesia."
Narjamahkeun sastra kontémporér Indonésia kaasup karya Séno Gumira Ajidarma jeung Putu Wijaya kana basa Jepang.,Miki menerjemahkeun sastra kontemporer Indonesia termasuk karya Séno Gumira Ajidarma dan Putu Wijaya ke dalam bahasa Jepang.
"Ngajarkeun basa Indonésia ti taun 1988 di Jepang, kaasup nyusun buku pelajaran basa Indonésia keur siswa di Jepang.","Miki mengajarkan bahasa Indonesia sejak tahun 1988 di Jepang, termasuk menyusun buku pelajaran bahasa Indonesia untuk parasiswa Jepang. Mikihiro Moriyama lahir di Kyoto, Jepang, tanggal 16 Séptémber 1960. Riwayat Pendidikan."
"Lahir di Kyoto, Jepang, tanggal 16 Séptémber 1960. Riwayat Atikan.","Miki mengajarkan bahasa Indonesia sejak tahun 1988 di Jepang, termasuk menyusun buku pelajaran bahasa Indonesia untuk parasiswa Jepang. Mikihiro Moriyama lahir di Kyoto, Jepang, tanggal 16 Séptémber 1960. Riwayat Pendidikan."
Pamayang,Nelayan
Pamayang nya éta pakasaban hiji jelma anu gawéna ngala lauk di basisir atawa sagara.,"Nelayan adalah istilah bagi orang-orang yang sehari-harinya bekerja menangkap ikan atau biota lainnya yang hidup di dasar, kolom maupun permukaan perairan."
Munisipalitas,Munisipalitas
"Munisipalitas (, ) nyaeta hiji entitas administratif nu kadefinisikeun sacara jelas wilayah jeung pangeusina, nu ilaharna ngarujuk ka hiji kota atwa désa, atawa kelompok leutik tina entitas-entitas eta.","Munisipalitas (Bahasa Inggris: ""municipality"") adalah suatu entitas administratif yang terdefinisi secara jelas wilayah dan penduduknya, yang umumnya merujuk pada suatu kota atau desa, atau kelompok kecil dari entitas-entitas tersebut."
"Hiji munisipalitas biasana diparentah ku walikota (""mayor"") jeung déwan kota atawa déwan munisipal.","Suatu munisipalitas biasanya diperintah oleh seorang wali kota (""mayor"") dan suatu dewan kota atau dewan munisipal."
"Di kalolobaan nagara, munisipalitas mangrupakeun subdivisi administratif pangleutikna nu pingpinannana diangkat ngaliwatan proses pamilihan nu demokratis.","Pada kebanyakan negara, suatu munisipalitas adalah subdivisi administratif terkecil yang pimpinannya diangkat melalui suatu proses pemilihan demokratis."
"Di sababaraha nagara, munisipalitas oge bisa ngarujuk kana hiji komuni, misalna di Perancis (""commune""), Spanyol (""comuna"") jeung Swédia (""Kommun"").","Di beberapa negara, munisipalitas juga merujuk pada suatu komuni, misalnya di Perancis (""commune"") dan Spanyol (""comuna"")."
Muhammad,Muhammad
Mongolia,Mongolia
"Mongolia (basa Mongol: Монгол Улс) magrupakeun hiji nagara nu kakurung daratan di Asia Wétan, tepung wates jeung Rusia di kalér jeung Républik Rahayat Cina di kidul.","Mongolia (bahasa Mongol: Монгол Улс) adalah sebuah negara yang terkurung daratan di Asia Timur, berbatasan dengan Rusia di sebelah utara dan Republik Rakyat Cina di selatan."
"Mongolia mangrupakeun pusat Kakaisaran Mongol dina abad ka-13, tapi dikawasaan ku Dinasti Qing ti ahir abad ka-17 nepi ka hiji pamaréntah merdika diwangun jeung pitulungan Uni Soviét dina 1921.",Mongolia merupakan pusat Kekaisaran Mongol pada abad ke-13 tetapi dikuasai oleh Dinasti Qing sejak akhir abad ke-17 hingga sebuah pemerintah merdeka dibentuk dengan bantuan Uni Soviet pada 1921.
Tapi kamerdékaan Mongolia heunteu diakuan ku Cina nepi ka taun 1949.,"Akan tetapi, kemerdekaan Mongolia tidak diakui China sampai tahun 1949."
Saenggeus Komunis ngawasaan Cina daratan teras ahirnya ngakuan kamerdékaan Mongolia.,"Setelah Komunis menguasai Cina daratan, China akhirnya mengakui kemerdekaan Mongolia."
"Saenggeus runtuhna Uni Soviét, Mongolia ngagem démokrasi.","Setelah keruntuhan Uni Soviet, Mongolia menganut aliran demokrasi."
"Lega wewengkonna nu ampir sarua jeung Alaska, kalobaannana wewengkon Mongolia miboga taneuh nu saat: kalobaannana wewengkon mangrupa tegal jukut, eujeung pagunungan di bagian kulon jeung kalér jeung Sagara Keusik Gobi di kidul.","Dengan luas wilayah yang sebanding dengan Alaska, sebagian besar wilayah Mongolia memiliki tanah yang gersang: kebanyakan wilayah berupa padang rumput, dengan pegunungan di bagian barat dan utara dan Gurun Gobi di selatan."
Mayoritas populasina étnisna Mongol nu ngagem agama Buddha Tibét jeung hirupna nomad.,Mayoritas penduduknya beretnis Mongol yang menganut agama Buddha Tibet dengan kehidupan nomad.
Politik.,Politik.
Mongolia katelah di abad ka-13 dina kapamingpinan Génghis Khan sabab bisa hasil nalukan rupa-rupa karajaan di Éurasia.,Mongolia terkenal di abad ke-13 di bawah kepemimpinan Genghis Khan karena berhasil menaklukkan berbagai kerajaan di Eurasia.
"Saenggeus maotna Génghis Khan, Mongolia dibagi kana sababaraha nagara bagian nu kuat jeung kapeupeus dina abad ka-14.","Setelah kematian Genghis Khan, Mongolia dibagi menjadi beberapa negara bagian yang kuat dan terpecah pada abad ke-14."
Sakabéh nagara bagian teras ngahiji deui ka Mongolia awal jeung aya dina pamaréntahan Tiongkok.,Semua negara bagian kemudian bersatu kembali ke Mongolia awal dan berada di bawah pemerintahan Tiongkok.
"Dina 1921, ti pitulung Uni Soviét, Mongolia merdéka ti Tiongkok.","Pada 1921, atas bantuan Uni Soviet (sudah bubar), Mongolia merdeka dari Tiongkok."
Hiji pamaréntahan komunis diwangun dina 1924.,Sebuah pemerintahan komunis dibentuk pada 1924.
"Dina éra 1990-an, Partai Révolusionér Rahayat Mongolia (MPRP) ngéléhan Koalisi Uni Démokratik (DUC).","Pada era 1990-an, Partai Revolusioner Rakyat Mongolia (MPRP) mengalahkan Koalisi Uni Demokratik (DUC)."
Hal ieu mangrupakeun kumpulan ti rupa-rupa partai démokratis.,Ini merupakan kumpulan dari berbagai partai beraliran demokratis.
Koalisi DUC ngéléhan MPRP dina pamilu taun 1996.,Koalisi DUC mengalahkan MPRP pada pemilu tahun 1996.
"Dina Pamilu taun 2000, parlemén Mongolia dikawasaan ku MPRP.","Pada Pemilu tahun 2000, parlemen Mongolia dikuasai oleh MPRP."
"Dina pamilu 2004, DUC jeung MPRP ngawangun koalisi pamaréntahan.","Pada pemilu 2004, DUC dan MPRP membentuk koalisi pemerintahan."
"Dina 11 Januari 2005, sapuluh menteri di pamaréntahan koliasi mundurkeun awak jeung dina kondisi krisis.","Pada 11 Januari 2005, sepuluh menteri di pemerintahan koliasi mengundurkan diri dan dalam kondisi krisis."
Aya 18 menteri dina pamaréntahan koalisi antara MPRP (nu saméméh namina Partai Komunis) jeung Partai Démokratik nu mangrupakeun payung politik bekas Perdana Menteri Tsakhia Elbegdorj.,Ada 18 menteri di dalam pemerintahan koalisi antara MPRP (yang sebelumnya bernama Partai Komunis) dan Partai Demokratik yang merupakan payung politik mantan Perdana Menteri Tsakhia Elbegdorj.
Partai Démokratik ngan miboga 25 anggota di parlemén.,Partai Demokratik hanya mempunyai 25 anggota di parlemen.
Géografi jeung Iklim.,Geografi dan Iklim.
Bali (anatomi),Plasenta
Haseup,Asap
Eureup-eureup,Kelumpuhan tidur
Méja,Meja
Méja nyaéta salah sahiji purnitur mangrupa widang datar diwengku ku sababaraha suku méja.,Meja adalah salah satu furnitur berupa permukaan datar yang disokong oleh beberapa kaki.
Méja sering dipake pikeun nyimpen barang atawa dahareun kalayan luhur nu tamtu supaya gampang dicokot nalika urang diuk.,Meja sering dipakai untuk menyimpan barang dan makanan dengan ketinggian tertentu supaya mudah dijangkau saat kita duduk.
Méja umumna dipasangkeun jeung korsi.,Meja umumnya dipasangkan dengan kursi.
"Méja ilaharna henteu miboga laci, tapi upama maké laci disebutna méja rias, lomari méja nu loba lacina, jeung sajabana.","Meja yang umum tidak memiliki laci, tapi jika berlaci dia bisa berbentuk meja rias, lemari meja dengan banyak laci, dan lain sebagainya."
Méja nu husus dipaké pikeun digawé kadang-kadang disebut méja tulis atawa bangku.,Meja yang khusus dipakai untuk bekerja disebut meja tulis atau bangku.
Al Insyiqoq,Surah Al-Insyiqaq
"Al Insyiqoq (basa Arab:الانشقاق, ""Kabeulah"") nyaéta surat ka-84 dina al Qur'an.","Surah Al-Insyiqaq (bahasa Arab:الانشقاق, ""Terbelah"") adalah surah ke-84 dalam al-Qur'an."
Surat ieu diwangun ku 25 ayat sarta kaasup kana golongan surat-surat Makkiyah sarta diturunkeun sanggeus surah Al Infithor.,Surah ini terdiri atas 25 ayat dan termasuk golongan surah-surah Makkiyah serta diturunkan setelah surah Al-Infitar.
"Dingaranan ""al insyiqoq"" (kabeulah), dicokot tina kecap anu aya dina awal surat ieu. Poko-poko eusina ngajelaskeun kajadian-kajadian dina awal kajadian poé kiamat; pangwawadi yén manusa susah payah néangan Pangéranana; dina manggihan Pangéranana jaga aya anu meunang kabagjaan sarta aya ogé anu meunang kasangsaraan; tingkat-tingkat kajadian sarta kahirupan manusa di dunya jeung di ahérat.","Dinamai ""Al Insyiqaaq"" (terbelah), diambil dari perkataan yang terdapat pada permulaan surat ini, yang pokok katanya ialah insyiqaaq. Pokok-pokok isinya menerangkan peristiwa-peristiwa pada permulaan terjadinya hari kiamat; peringatan bahwa manusia bersusah payah menemui Tuhannya; dalam menemui Tuhannya kelak ada yang mendapat kebahagiaan dan ada pula yang mendapat kesengsaraan; tingkat-tingkat kejadian dan kehidupan manusia di dunia dan di akhirat."
Médan Listrik,Medan listrik
"Médan listrik nyaéta éfék anu ditimbulkan ku ayana muatan listrik, saperti éléktron, ion, atawa proton, dina rohangan sabudeureunana.","Medan listrik adalah efek yang ditimbulkan oleh keberadaan muatan listrik, seperti elektron, ion, atau proton, dalam ruangan yang ada di sekitarnya."
Médan listrik ngabogaan hijian N/C atawa dibaca newton/coulomb.,Medan listrik memiliki satuan N/C atau dibaca Newton/coulomb.
Médan listrik umumna diajarkeun dina élmu fisika sarta widang-widang nu patali.,"Medan listrik umumnya dipelajari dalam bidang fisika dan bidang-bidang terkait, dan secara tak langsung juga di bidang elektronika yang telah memanfaatkan medan listrik ini dalam kawat konduktor (kabel)."
"Sacara teu langsung, widang éléktronika geus ngamangpaatkeun médan listrik nu aya dina kawat konduktor (kabel).","Medan listrik umumnya dipelajari dalam bidang fisika dan bidang-bidang terkait, dan secara tak langsung juga di bidang elektronika yang telah memanfaatkan medan listrik ini dalam kawat konduktor (kabel)."
Asal médan listrik.,Asal medan listrik.
"Rumus matematika pikeun médan listrik bisa diturunkeun tina Hukum Coulomb, nyaéta nu ngarumuskeun gaya antara dua titik muatan: formula_1.","Rumus matematika untuk medan listrik dapat diturunkan melalui Hukum Coulomb, yaitu gaya antara dua titik muatan:\ Menurut persamaan ini, gaya pada salah satu titik muatan berbanding lurus dengan besar muatannya."
"Médan listrik didéfinisikeun minangka hiji konstanta babandingan antara muatan jeung gaya Andrew Duffy, ""Electric field"", PY106/Electricfield.html, 7-7-99.: formula_2 formula_3 Mangka, médan listrik gumantung kana patempatan (posisi).","Medan listrik didefinisikan sebagai suatu konstan perbandingan antara muatan dan gaya: Maka, medan listrik bergantung pada posisi."
"Hiji médan, mangrupa hiji véktor anu gumantung kana véktor séjénna.","Suatu medan, merupakan sebuah vektor yang bergantung pada vektor lainnya."
Medan listrik bisa dianggap salaku gradién tina poténsial listrik.,Medan listrik dapat dianggap sebagai gradien dari potensial listrik.
"Lamun sawatara muatan anu disebarkeun ngahasilkeun poténsial listrik, gradién poténsial listrik bisa ditangtukeun.","Jika beberapa muatan yang disebarkan menghasiklan potensial listrik, gradien potensial listrik dapat ditentukan."
Konstanta k.,Konstanta k.
Ngitung médan listrik.,Menghitung medan listrik.
"Pikeun ngitung médan listrik dina hiji titik formula_9 alatan ayana hiji titik muatan formula_10 anu perenahna dina formula_11 dipaké rumus: Tempo: ""Vector Notation"", vec-not-prae, revised 6/02. formula_14 Panyederhanaan anu kurang pas.",Untuk menghitung medan listrik di suatu titik formula_7 akibat adanya sebuah titik muatan formula_8 yang terletak di formula_9 digunakan rumus Penyederhanaan yang kurang tepat.
"Umumna pikeun ngalakonan panyederhanaan dipilih puseur koordinat silih hapit jeung titik muatan formula_10 anu perenahna dina formula_11 sahingga dihasilkeun rumus jiga nu dituliskeun dina awal artikel ieu, atawa lamun dituliskeun balik dina notasi vektornya: formula_17 kalawan vektor hijian formula_18 formula_19.","Umumnya untuk melakukan penyederhanaan dipilih pusat koordinat berhimpit dengan titik muatan formula_8 yang terletak di formula_9 sehingga diperoleh rumus seperti telah dituliskan pada permulaan artikel ini, atau bila dituliskan kembali dalam notasi vektornya: dengan vektor satuan formula_14 formula_15 Disarankan untuk menggunakan rumusan yang melibatkan formula_9 dan formula_7 karena lebih umum, dan dapat diterapkan untuk kasus lebih dari satu muatan dan juga pada distribusi muatan, baik distribusi diskrit maupun kontinu."
"Disarankeun pikeun ngagunakeun rumusan anu ngalibetkeun formula_11 sarta formula_9 alatan leuwih umum, sarta bisa dilarapkeun pikeun kasus nu ngandung muatan leuwih ti hiji sarta ogé dina distribusi muatan, boh distribusi diskrit boh kontinu.","Umumnya untuk melakukan penyederhanaan dipilih pusat koordinat berhimpit dengan titik muatan formula_8 yang terletak di formula_9 sehingga diperoleh rumus seperti telah dituliskan pada permulaan artikel ini, atau bila dituliskan kembali dalam notasi vektornya: dengan vektor satuan formula_14 formula_15 Disarankan untuk menggunakan rumusan yang melibatkan formula_9 dan formula_7 karena lebih umum, dan dapat diterapkan untuk kasus lebih dari satu muatan dan juga pada distribusi muatan, baik distribusi diskrit maupun kontinu."
Panyederhanaan ieu ogé sakapeung ngajadikeun pamahaman dina ngitung médan listrik jadi saeutik rada teu jelas.,Penyederhanaan ini juga kadang membuat pemahaman dalam menghitung medan listrik menjadi agak sedikit kabur.
Sajaba ti éta ogé lantaran panyederhanaan ieu ngan mangrupa salah sahiji kasus husus dina itungan médan listrik (kasus ku hiji titik muatan di mana titik muatan ditempatkeun di puseur koordinat).,Selain itu pula karena penyederhanaan ini hanya merupakan salah satu kasus khusus dalam perhitungan medan listrik (kasus oleh satu titik muatan di mana titik muatan diletakkan di pusat koordinat).
Tanda muatan listrik.,Tanda muatan listrik.
"Muatan listrik bisa boga harga négatif, enol (henteu aya muatan atawa jumlah hijian muatan positif jeung négatif sarua) sarta négatif.","Muatan listrik dapat bernilai negatif, nol (tidak terdapat muatan atau jumlah satuan muatan positif dan negatif sama) dan negatif."
"Harga muatan ieu baris mangaruhan itungan médan listrik dina hal tandana, nyaéta positif atawa négatif (atawa enol).","Nilai muatan ini akan memengaruhi perhitungan medan listrik dalam hal tandanya, yaitu positif atau negatif (atau nol)."
"Lamun dina saban titik di sabudeureun hiji muatan (atawa leuwih) diitung medan listrikna sarta digambarkeun vektor-vektorna, mangka baris katémbong garis-garis anu silih sambung, anu disebut sabagé garis-garis médan listrik.","Apabila pada setiap titik di sekitar sebuah (atau beberapa) muatan dihitung medan listriknya dan digambarkan vektor-vektornya, akan terlihat garis-garis yang saling berhubungan, yang disebut sebagai garis-garis medan listrik."
Tanda muatan nangtukeun naha garis-garis médan listrik anu dihasilkeun téh asalna tina éta muatan atawa nuju ka éta muatan.,Tanda muatan menentukan apakah garis-garis medan listrik yang disebabkannya berasal darinya atau menuju darinya.
"Geus ditangtukeun (dumasar kana gaya anu dirandapan ku muatan uji positif), yén Gradién poténsial listrik.","Telah ditentukan (berdasarkan gaya yang dialami oleh muatan uji positif), bahwa Gradien potensial listrik."
"Médan listrik bisa ogé diitung lamun hiji poténsial listrik formula_22 dipikanyaho, ngaliwatan itungan gradiénna Carl R. formula_23 dimana formula_24 formula_25 formula_26 formula_27 pikeun sistem koordinat kartésian.","Medan listrik dapat pula dihitung apabila suatu potensial listrik formula_18 diketahui, melalui perhitungan gradiennya : dengan untuk sistem koordinat kartesian."
Énergi médan listrik.,Energi medan listrik.
"Rapet énergi hiji médan listrik dijelaskeun ku David Land, Electrostatic field energy, ELMAG305/em8a/sld006.htm, 18.10.1999 17:05:51. kalawan Total énérgi anu kasimpen dina médan listrik dina hiji volume formula_32 nyaéta dimana Distribusi muatan listrik.",Rapat energi suatu medan listrik diberikan oleh dengan Total energi yang tersimpan pada medan listrik dalam suatu volum formula_25 adalah dengan Distribusi muatan listrik.
"Médan listrik henteu waé ngan ditimbulkan ku hiji muatan listrik, tapi ogé bisa ditimbulkan ku leuwih ti hiji muatan listrik, malah ku distribusi muatan listrik boh anu diskrit boh anu kontinu.","Medan listrik tidak perlu hanya ditimbulkan oleh satu muatan listrik, melainkan dapat pula ditimbulkan oleh lebih dari satu muatan listrik, bahkan oleh distribusi muatan listrik baik yang diskrit maupun kontinu."
Conto-conto distribusi muatan listrik nyaéta: Kumpulan titik-titik muatan.,Contoh-contoh distribusi muatan listrik misalnya: Kumpulan titik-titik muatan.
"Pikeun titik-titik muatan anu sumebar sarta jumlahna henteu réa teuing, médan listrik dina sahiji titik (lain dina salah hiji titik muatan) bisa diitung ku cara ngajumlahkeun véktor médan listrik dina titik-titik kasebut akibat unggal muatan.","Untuk titik-titik muatan yang tersebar dan berjumlah tidak terlalu banyak, medan listrik pada suatu titik (dan bukan pada salah satu titik muatan) dapat dihitung dengan menjumlahkan vektor medan listrik di titik tersebut akibat oleh masing-masing muatan."
Dina kasus ieu leuwih alus dituliskeun formula_35 formula_36 di mana formula_37 nyaéta jumlah titik muatan.,"Dalam kasus ini lebih baik dituliskan yang dibaca, medan listrik di titik formula_29 akibat adanya muatan formula_30 yang terletak di formula_31."
"Minangka gambaran, contona lamun urang hayang nangtukeun gedéna médan listrik dina titik \!P anu mangrupa patimuan dua diagonal hiji ""bujursangkar"" nu boga sisi formula_38, di mana aya ku opat muatan titik anu perenahna dina kaoptat titik sudut bujursangkar kasebut.","Sebagai ilustrasi, misalnya ingin ditentukan besarnya medan listrik pada titik formula_35 yang merupakan perpotongan kedua diagonal suatu bujursangkar bersisi formula_36, di mana terdapat oleh empat buat muatan titik yang terletak pada titik sudut-titik sudut bujursangkar tersebut."
Pikeun kasus ieu misalkeun yén formula_39 sarta formula_40 sarta cokot puseur koordinat di titik formula_41 pikeun ngagampangkeun.,Untuk kasus ini misalkan bahwa formula_37 dan formula_38 dan ambil pusat koordinat di titik formula_39 untuk memudahkan.
"Pikeun kasus dua diménsi kawas ieu, bisa dituliskeun ogé ku kituna formula_47 formula_48 formula_49 Kawat panjang lempeng.","Untuk kasus dua dimensi seperti ini, bisa dituliskan pula yang akan memberikan sehingga yang menghasilkan bahwa medan listrik pada titik tersebut adalah nol."
"Pikeun hiji kawat anu lempeng dina sumbu formula_50, dina jarak formula_51 di luhurna, sarta kawat manteng ti formula_52 nepi ka formula_53 ti titik proyeksi formula_54 dina kawat, médan listrik di titik kasebut bisa diitung gedéna, nyaéta: formula_55 Saperti nu geus disebutkeun di luhur, lamun formula_56 jeung formula_57 mangka kalawan ngagunakeun dalil L'Hospital dihasilkeun formula_58 Atawa lamun kawat nu ditempatkeun sajajar jeung sumbu-z sarta widang x-y ditembus kawat sacara ajeg lempeng, mangka médan listrik di hiji titik nu jarakna formula_59 ti kawat, médan listrikna nyaéta formula_60 dimana formula_61 nyaéta véktor hijian radial dina koordinat silinder: formula_62 di mana formula_63 nyaéta sudut anu dijieun ku sumbu-x positif.","Untuk suatu kawat yang merentang lurus pada sumbu formula_48, pada jarak formula_49 di atasnya, dengan kawat merentang dari formula_50 sampai formula_51 dari titik proyeksi formula_52 pada kawat, medan listrik di titik tersebut dapat dihitung besarnya, yaitu: Seperti telah disebutkan di atas, apabila formula_54 dan formula_55 maka dengan menggunakan dalil L'Hospital diperoleh Atau bila kawat diletakkan sejajar dengan sumbu-z dan bidang x-y ditembus kawat secara tegak lurus, maka medan listrik di suatu titik berjarak formula_57 dari kawat, dapat dituliskan medan listriknya adalah dengan formula_59 adalah vektor satuan radial dalam koordinat silinder: di mana formula_61 adalah sudut yang dibentuk dengan sumbu-x positif."
Tom Cruise,Tom Cruise
Toléat,Toleat
Klan Uchiha (Naruto),Klan Uchiha
Nauru,Nauru
Kedelé,Kedelai
Beurat,Berat
Mantéga,Mentega
Biasanya dipaké pikeun olésan dina roti jeung biskuit.,"Biasanya digunakan sebagai olesan roti dan biskuit, sebagai perantara lemak di beberapa resep roti dan masakan, dan kadang-kadang bahan untuk menggoreng."
Nagari,Nagari
"Nagari, nyaéta babagian wilayah administratif di Propinsi Sumatra Kulon, Indonésia sahandapeun kacamatan.","Nagari adalah pembagian wilayah administratif sesudah kecamatan di provinsi Sumatera Barat, Indonesia."
"Istilah ""Nagari"" ngagantikeun ""désa"", nu samemehna dipake di Sumatra Kulon, saperti di propinsi-propinsi lianna di Indonesia.","Istilah nagari menggantikan istilah desa, yang digunakan di provinsi lain di Indonesia."
