javanese,indonesian
"Toko, iku salah sawijining desa   kelurahan ing Kecamatan Penawangan, Kabupaten Grobogan, provinsi Jawa Tengah, Indonesia. Desa iki jembare:   km2 kanthi pedunung watara   jiwa.","Toko adalah desa di kecamatan Penawangan, Grobogan, Jawa Tengah, Indonesia."
Soedarpo Sastrosatomo,Soedarpo Sastrosatomo
"Soedarpo Sastrosatomo lair Pangkalan Susu, Langkat, Sumatera Utara,30 Juni 1920 — tilar donya Jakarta, 22 Oktober 2007 yaiku juru runding, nasionalis, lan pengusaha kang akeh perane sajroning mbantu perjuangan diplomasi Indonesia ing mangsa mangsa wiwitan kamardikan. Dheweke uga anggota perunding Indonesia sajroning Perundingan Linggarjati, banjur dadi anggota perwakilan RI ing PBB taun 1948 tekan 1950.","Soedarpo Sastrosatomo (lahir Pangkalan Susu, Langkat, Sumatera Utara,30 Juni 1920 — wafat Jakarta, 22 Oktober 2007) adalah juru runding, nasionalis, serta pengusaha yang banyak berperan dalam membantu perjuangan diplomasi Indonesia pada masa-masa awal kemerdekaan. Di masa tuanya ia dikenal sebagai filantropis serta banyak berhubungan dan membantu aktivis pergerakan, politisi, serta akademisi. Soedarpo menikah dengan Minarsih Wiranatakusumah dan dikaruniai tiga anak."
Soedarpo kawin karo Minarsih Wiranatakusumah lan duweni anak telu.,"Soedarpo Sastrosatomo (lahir Pangkalan Susu, Langkat, Sumatera Utara,30 Juni 1920 — wafat Jakarta, 22 Oktober 2007) adalah juru runding, nasionalis, serta pengusaha yang banyak berperan dalam membantu perjuangan diplomasi Indonesia pada masa-masa awal kemerdekaan. Di masa tuanya ia dikenal sebagai filantropis serta banyak berhubungan dan membantu aktivis pergerakan, politisi, serta akademisi. Soedarpo menikah dengan Minarsih Wiranatakusumah dan dikaruniai tiga anak."
"Cilacap Kidul, Cilacap","Cilacap Selatan, Cilacap"
"Kecamatan Cilacap Kidul basa Indonesia : Cilacap Selatan, iku salah siji kecamatan ing kabupaten Cilacap, provinsi Jawa Tengah, Indonesia.","Cilacap Selatan adalah sebuah kecamatan di Kabupaten Cilacap, Jawa Tengah, Indonesia. Kecamatan Cilacap Selatan adalah kecamatan yang berada di pusat kabupaten Cilacap."
Suku Aneuk Jamee,Suku Aneuk Jamee
"Suku Wong Aneuk Jamee inggih punika sawijining suku ingkang kasebar ing sepanjang pesisir kilen lan kidul Aceh wiwit saking Singkil, Aceh Selatan, Aceh Barat Daya lan Simeulue.","Suku Aneuk Jamee adalah sebuah suku yang tersebar di sepanjang pesisir barat dan selatan Aceh mulai dari Singkil, Aceh Selatan, Aceh Barat Daya dan Simeulue."
"Suku Aneuk Jamee minangka penduduk Minangkabau ingkang sami migrasi ing Aceh lan sampun kacampur kaliyan Suku Aceh, Kluet, Singkil lan Devayan.","Suku Aneuk Jamee merupakan penduduk Minangkabau yang bermigrasi ke Aceh dan telah bercampur dengan Suku Aceh, Kluet, Singkil dan Devayan."
"SAking segi basa, basa Aneuk Jamee taksih dipunanggep salah satunggaling dialek saking Basa Minangkabau ingkang sampun kacampur kaliyan bas basa setempat.","Dari segi bahasa, bahasa Aneuk Jamee masih dianggap salah satu dialek dari bahasa Minangkabau yang telah bercampur dengan bahasa-bahasa setempat."
Nama.,Nama.
Nama Aneuk Jamee asalipun saking basa Aceh ingkang kanthi harfiah ateges anak tamu.,"Nama ""Aneuk Jamee"" berasal dari bahasa Aceh yang secara harfiah berarti ""anak tamu""."
Sajarah.,Sejarah.
"Konon cariyosipun, nalika Perang Paderi tembe kalangsung, para pajuang paderi wiwit kejepit dening serangan kolonial Belanda.","Konon ceritanya, ketika perang paderi berlangsung, para pejuang paderi mulai terjepit oleh serangan kolonial Belanda."
Pesisir Minangkabau nalika iku minangka bageyan saking kerajaan Aceh ngirim bantuan balatentara.,"Pesisir Minangkabau pada saat itu adalah bagian dari kerajaan Aceh mengirim bantuan balatentara. ketika keadaan makin kritis rakyat terpaksa di eksoduskan, pada saat itu mulailah Rakyat Minangkabau bertebaran di pantai Barat Selatan Aceh."
"Nalika kahanan samsaya kritis rakyat kapaksa dipuneksodusaken, nalika iku wiwitanining Rakyat Minangkabau sami nyebar ing pante Kilen Kidul Aceh.","Pesisir Minangkabau pada saat itu adalah bagian dari kerajaan Aceh mengirim bantuan balatentara. ketika keadaan makin kritis rakyat terpaksa di eksoduskan, pada saat itu mulailah Rakyat Minangkabau bertebaran di pantai Barat Selatan Aceh."
"Versi lsanes nyebataken bilih wilayah Aceh Selatan minangka sesinggahaning Syeikh Burhanuddin Ulakan, sawijining Syeikh ingkang asalipun saking Ulakan Pariaman Sumatera Barat ???   15 Shafar 1116 H 19 20 Juni 1704.","Versi lain menyebutkan bahwa daerah Aceh Selatan merupakan persinggahan dari Syeikh Burhanuddin Ulakan, seorang Syeikh yang berasal dari dari Ulakan Pariaman Sumatera Barat) (??? - 15 Shafar 1116 H 19/20 Juni 1704)."
Piyambakipun minangka sawijining ulama ingkang nyebaraken agama Islam ing Kerajaan Pagaruyung.,Ia adalah seorang ulama yang menyebarkan Islam di Kerajaan Pagaruyung.
Kejawi punika piyambakipun misuwur minangka pahlawan pergerakan Islam nglawan penjajahan VOC.,Selain itu ia terkenal sebagai pahlawan pergerakan Islam melawan penjajahan VOC.
"Piyambakipun asalipun saking pante Ulakan, Pariaman.","Ia berasal dari pantai Ulakan, Pariaman."
"Syekh Burhanuddin nate ngangsu kawruh ing Aceh dhumateng Syekh Abdurrauf Singkil saking Desa Singkil Aceh, ingkang nate dados murid lan penganut setia ajaran Syekh Ahmad al Qusyasyi Madinah.","Syekh Burhanuddin pernah menimba ilmu di Aceh kepada Syekh Abdurrauf Singkil dari Desa Singkil Aceh, yang pernah menjadi murid dan penganut setia ajaran Syekh Ahmad al-Qusyasyi Madinah."
Dening Syekh Ahmad kekalihipun dipunparingi wewenang saperlu nyebaraken agama Islam ing dhaerahipun piyambak piyambak.,Oleh Syekh Ahmad keduanya diberi wewenang untuk menyebarkan agama Islam di daerahnya masing-masing.
"Miturut cariyos, Aceh Selatan rumiyin minangka sesinggahanipun kapal kapal saking Sumatera Barat ingkang pinuju Mekkah mbekta Jamaah Haji.","Menurut cerita, Aceh Selatan dulunya merupakan persinggahan kapal-kapal dari Sumatera Barat yang menuju Mekkah membawa Jamaah Haji."
"Wonten ing Versi sanesipun, Aneuk Jamee ing Aceh Selatan dumunung ing wilayah wilayah pesisir ingkang celak kaliyan laut.","Dalam Versi lain, Aneuk Jamee di Aceh Selatan menempati di daerah-daerah pesisir yang dekat dengan laut."
"Mbok menawi jalur perpindahan nenek moyang rumiyin inggih punika saking jalur punika, rumiyin gesang saking berkebun lan dados nelayan.","Mungkin jalur perpindahan nenek moyang dulu adalah dari jalur ini, dulu hidup dari berkebun dan melaut."
"Kanthi perkembanganing jaman, sesarengan kaliyan kemajemukan, gesang teras berkembang sakmenika ingkang dados pengusaha, pedagang, pejabat, PNS, lan sanesipun.","Seiring perkembangan zaman, seiring dengan kemajemukan, hidup terus berkembang sekarang ada yang jadi pengusaha, pedagang, pejabat, PNS, dan lain sebagainya."
Sedayanipun gesang ing bageyanipun piyambak piyambak.,Semuanya hidup dalam porsinya masing-masing.
Penyebaran.,Penyebaran.
"Suku Aneuk Jamee utaminipun dumunung ing kabupaten Aceh Selatan kirang langkung 50 % populasi lan saperangan alit ing kabupaten Aceh Barat Daya, Aceh Barat, Aceh Singkil lan Simeulue.","Suku Aneuk Jamee terutama terdapat di kabupaten Aceh Selatan (lebih kurang 50 % populasi) dan sebagian kecil di kabupaten Aceh Barat Daya, Aceh Barat, Aceh Singkil dan Simeulue."
Kawasan kawasan ingkang dados papan dunungipun suku Aneuk Jamee: Basa.,Kawasan-kawasan yang didiami oleh suku Aneuk Jamee: Bahasa.
"Plupuh, Sragen","Plupuh, Sragen"
"Plupuh iku salah siji kecamatan ing kabupaten Sragen, provinsi Jawa Tengah, Indonesia.","Plupuh adalah sebuah kecamatan di Kabupaten Sragen, Provinsi Jawa Tengah, Indonesia."
"Kecamatan Plupuh dumunung ing sisih kulon ibukutha Kabupaten Sragen lete watara 40 Km, lan let saka Solo + 15 Km.","Kecamatan Plupuh terletak di sebelah barat ibu kota Kabupaten Sragen dengan jarak + 40 Km, dari Kota Solo + 15 Km . - Luas Wilayah Kecamatan Plupuh yang terbagi dalam luas tanah sawah menurut irigasi adalah : Adapun Batas-batas Wilayah Kecamatan adalah sebagai berikut: : - Sebelah Utara Kecamatan Tanon - Sebelah Timur Kecamatan Masaran - Sebelah Selatan Kabupaten Karanganyar - Sebelah Barat Kecamatan Gemolong Di Kecamatan Plupuh terdapat sarana pendukung perekonomian yang terdiri dari : 5 pasar umum, 74 Toko, 120 Kios, 86 Warung, 2 BUUD/KUD, 20 Kosipa, 3 Badan Kredit, 258 Lumbung Desa."
"Jembar wilayah Kecamatan Plupuh yaiku 4.836 Ha, dumadi saka 16 Desa lan 169 Dukuh, lan kaperang jroning 264 RT. Cacahing pedunung ing pungkasan sasi Juni ana 2007 52.359 jiwa  L : 26.261 lan W : 26.098.","Luas wilayah Kecamatan Plupuh adalah 4.836 Ha, terdiri dari 16 Desa dan 169 Dukuh, dan terbagi dalam 264 RT. dengan jumlah penduduk awal 2012 sejumlah 52.359 jiwa ( L : 26.261 dan P : 26.098)."
"Kecamatan Plupuh dumunung ing sisih kulon ibukutha Kabupaten Sragen lete watara 40 Km, lan let saka Solo + 15 Km.","Kecamatan Plupuh terletak di sebelah barat ibu kota Kabupaten Sragen dengan jarak + 40 Km, dari Kota Solo + 15 Km . - Luas Wilayah Kecamatan Plupuh yang terbagi dalam luas tanah sawah menurut irigasi adalah : Adapun Batas-batas Wilayah Kecamatan adalah sebagai berikut: : - Sebelah Utara Kecamatan Tanon - Sebelah Timur Kecamatan Masaran - Sebelah Selatan Kabupaten Karanganyar - Sebelah Barat Kecamatan Gemolong Di Kecamatan Plupuh terdapat sarana pendukung perekonomian yang terdiri dari : 5 pasar umum, 74 Toko, 120 Kios, 86 Warung, 2 BUUD/KUD, 20 Kosipa, 3 Badan Kredit, 258 Lumbung Desa."
Lemah ing wilayah Kecamatan Plupuh kabagi jroning:,"Kecamatan Plupuh terletak di sebelah barat ibu kota Kabupaten Sragen dengan jarak + 40 Km, dari Kota Solo + 15 Km . - Luas Wilayah Kecamatan Plupuh yang terbagi dalam luas tanah sawah menurut irigasi adalah : Adapun Batas-batas Wilayah Kecamatan adalah sebagai berikut: : - Sebelah Utara Kecamatan Tanon - Sebelah Timur Kecamatan Masaran - Sebelah Selatan Kabupaten Karanganyar - Sebelah Barat Kecamatan Gemolong Di Kecamatan Plupuh terdapat sarana pendukung perekonomian yang terdiri dari : 5 pasar umum, 74 Toko, 120 Kios, 86 Warung, 2 BUUD/KUD, 20 Kosipa, 3 Badan Kredit, 258 Lumbung Desa."
Sisupala,Sisupala
"Sisupala utawi Shishupala Sansekerta: शिशुपाल, IAST: Śiśupāla, wonten salebeting wiracarita Mahabharata inggih punika putranipun Damagosa Raja Chedi kaliyan Srutadewa rayinipun Wasudewa.","Dalam wiracarita ""Mahabharata"", Sisupala merupakan putra Damagosa dan Srutadewa dari kerajaan Chedi, kerabat Basudewa dari Mathura."
"Pramila mekaten, panjenenganipun minangka sadulur sepupunipun Kresna, ananging ugi musuh bebuyutanipun Kresna.","Ia merupakan sepupu Kresna sekaligus musuh bebuyutannya, karena Kresna telah merebut Rukmini, wanita yang ingin dinikahinya."
Kenging punapa?amargi Kresna sampun ngrebut Rukmini tiyang ingkang badhe dipun garwa.,"Ia merupakan sepupu Kresna sekaligus musuh bebuyutannya, karena Kresna telah merebut Rukmini, wanita yang ingin dinikahinya."
Sisupala dipunpejahi dening Kresna wonten ing upacara Rajasuya ingkang dipunwontenaken Yudhistira minangka ukuman amargi sampun ngina.,Sisupala dibunuh oleh Kresna pada saat upacara Rajasuya yang diselenggarakan oleh Yudistira sebagai hukuman karena penghinaan yang bertubi-tubi.
Alas tropis,Hutan hujan tropika
Karakteristik.,Karakteristik ekologis.
Susu,Susu
"Susu kuwi cuweran werna putih kang diprodhuksi dening kewan mammalia, kayata sapi, jaran, asu, wedhus lan manungsa.",Susu adalah cairan bergizi berwarna putih yang dihasilkan oleh kelenjar susu mamalia dan manusia.
"Cairan mau diprodhuksi ing kelenjar susu, amarga bayi kang nembe lair durung nduwe untu kudu disusoni sadurunge bisa mangan panganan kang padhet.",Susu adalah sumber gizi utama bagi bayi sebelum mereka dapat mencerna makanan padat.
Tony Q Rastafara,Tony Q Rastafara
"Jeneng asline Tony Q yaiku Tony Waluyo Sukmoasih, nanging luwih dikenal kanthi jeneng Tony Q Rastafara.",Tony Waluyo Sukmoasih (populer dengan nama Tony Q atau Tony Q Rastafara; ) adalah seorang penyanyi Indonesia beraliran reggae yang telah aktif di ragam tersebut sejak tahun 1989.
Tony iku biyene lulusan STM Perkapalan Semarang.,Tony Q adalah seorang lulusan STM Perkapalan di Semarang.
"Sadurunge dadi musisi, nalika taun 1980 Tony nyambut gawe dadi buruh pabrik kaleng PT Cakung Utama ing Cakung, Jakarta Timur.Dheweke nyambut gawe ing bageyan seksi kontrol kualitas suwene enem sasi, banjur metu jalaran bosen.","Sebelum terjun ke dunia musik, pada tahun 1980 Tony Q pernah bekerja selama enam bulan di bagian ""quality control"" (pengendalian mutu) di sebuah pabrik pengalengan milik perusahaan Singapura di Cakung, Jakarta Timur."
Wangsa Zhou,Dinasti Zhou
"Wangsa Zhou Hanzi: 周朝, hanyu pinyin: Zhou Chao 1066 SM   221 SM yaiku wangsa pungkasan sadurunge Cina resmi nyawiji dening Wangsa Qin.","Dinasti Zhou (Hanzi: 周朝, hanyu pinyin: Zhou Chao) (1066 SM - 221 SM) adalah dinasti terakhir sebelum Cina resmi disatukan di bawah Dinasti Qin."
"Wangsa Zhou yaiku wangsa kang paling suwe dibandhingake karo wangsa wangsa liyane ana ing sajarah Cina, lan wiwit dikenalake nganggo wesi ana ing Cina.","Dinasti Zhou adalah dinasti yang bertahan paling lama dibandingkan dengan dinasti lainnya dalam sejarah Cina, dan penggunaan besi mulai diperkenalkan di Cina mulai zaman ini."
Sajarah.,Sejarah.
"Kaya ana ing tradhisi feodhal Cina, para panguwasa Zhou nggantekake Wangsa Shang Yin lan menehi aturan kang isine netapake dadi mandhat langit, yaiku para panguwasa menehi prentah ana ing mandhat saka langit.","Sesuai tradisi feodal Cina, para penguasa Zhou mengantikan Dinasti Shang (Yin) dan mengesahkan aturan yang menetapkan mereka sebagai mandat langit, dimana para penguasa memerintah atas mandat dari langit."
"Yen mandhat kuwi dicabut, rakyat duwe hak kanggo nggulingake panguwasa.","Bila mandat dari langit dicabut, rakyat berhak menggulingkan penguasa tadi."
"Prentah langit ditetapake dening asumsi saka nenek moyang Zhou, Tian Huang Shangdi, kang ana ing sandhuwure nenek moyang Shang, Shangdi.","Perintah langit ditetapkan oleh asumsi nenek moyang Zhou, Tian-Huang-Shangdi, berada di atas nenek moyang Shang, Shangdi."
"Dhoktrin iki njlentrehake lan mbenerake kalahe Wangsa Xia lan Shang. Wangsa Zhou didegake dening keluwarga Ji 姬 kang ibukuthane ana ing Hao 鎬, saiki sakupenge Xian, kang nerusake corak budaya lan basa saka wangsa sadurunge, ekspansi Zhou wiwitane ana kanthi cara penelukan.","Doktrin ini menjelaskan dan membenarkan kekalahan Dinasti Xia dan Shang, dan pada waktu yang sama mendukung hak kekuasaan para penguasa sekarang dan masa depan."
Kanthi alon wangsa Zhou saya ngambani kabudayan Shang nganti tekan wilayah Lor Kali Panjang.,Secara berangsur-angsur Zhou memperluas budaya Shang sampai ke wilayah utara Sungai Panjang.
Wiwitane keluwarga Ji ngendhalekake negara Zhou kanthi kapusat.,Pada awalnya keluarga Ji mengendalikan negara Zhou secara terpusat.
Park Hyun bin,Park Hyun-bin
Park Hyun bin 박현빈  lair 18 Oktober 1982 yaiku sawijining penyanyi trot saka Korea Selatan.,Park Hyun-bin (박현빈; lahir 18 Oktober 1982) adalah seorang penyanyi trot dari Korea Selatan.
Park Hyun bin miwiti karire kanthi lagu 빠라빠빠 Bba ra bba bba lan 곤드레 만드레 Gondeurae Mandeurae iang taun 2006 kang gawe dheweke dadi misuwur mula kawit kuwi dheweke kerep ana ing acara tv lan musik ing Korea.,"Park Hyun-bin memulai debut dengan lagu ""빠라빠빠/Bba-ra-bba-bba"" dan ""곤드레 만드레/Gondeurae Mandeurae"" pada tahun 2006 yang melambungkan namanya sehingga sejak itu ia sangat populer di berbagai acara tv dan musik di Korea."
Dheweke danggep minangka Pangeran Trot lan minangka salah siji saka pemimpin musik generasi anyar kang narik kawigaten kadang katresnan musik Korea.,"Ia dianggap sebagai ""Pangeran Trot"" dan merupakan salah satu dari pemimpin musik generasi baru yang menarik perhatian pencinta musik Korea."
"Park Hyun bin yaiku salah siji saka 10 artis Korea kang tanpa pamrih nyumbangake korneane, ing antarane yaiku Jang Yoon jeong, Suh In young lan Park Jeong ah.","Park Hyun-bin merupakan salah satu dari 10 orang artis Korea yang secara sukarela akan menyumbangkan kornea mereka, di antaranya Jang Yoon-jeong, Suh In-young dan Park Jeong-ah."
NRJ Group,NRJ Group
"NRJ akronim dipunwaos energie wonten ing Basa Perancis, , minangka sawijining grup multimedia Perancis ingkang basisipun wonten ing Paris.","NRJ (akronim dibaca ""énergie"" dalam Bahasa Perancis, ), merupakan sebuah grup multimedia Perancis yang berbasis di Paris."
"Wiwit madegipun taun 1981 minangka stasiun radio musik pop Perancis, NRJ ngrembaka lan ewah dados NRJ Group.","Sejak pendiriannyatahun 1981 sebagai stasiun radio musik pop Perancis, mereka berkembang dan berubah menjadi NRJ Group."
"Wiwit taun 2002, NRJ sampun dados stasiun radio musik paling populer ing Perancis lan stasiun radio paling populer angka 2 miturut cacahing pamireng lan saham pasaran  namung RTL ingkang kagungan kathah pamireng.","Sejak 2002, NRJ telah menjadi stasiun radio musik paling populer di Perancis dan stasiun radio terpopuler kedua menurut jumlah pendengar dan saham pasaran; hanya RTL yang memiliki banyak pendengar."
NRJ Group sampun ewah saking stasiun radio dados merk stasiun radio komersial ing Eropa.,NRJ Group telah berubah dari stasiun radio menjadi merek stasiun radio komersial di Eropa.
"Kagungan stasiun wonten ing Perancis, Swiss, Austria, Belgia, Jerman, Denmark, Finlandia, Rusia, Swedia, Ukraina, Norwegia, Bulgaria, Kaledonia Baru, lan Lebanon.","Memiliki stasiun di Perancis, Swiss, Austria, Belgia, Jerman, Denmark, Finlandia, Rusia, Swedia, Ukraina, Norwegia, Bulgaria, Kaledonia Baru, dan Lebanon."
